Year,lat,lng,1952 Q1,1952 Q2,1952 Q3,1952 Q4,1953 Q1,1953 Q2,1953 Q3,1953 Q4,1954 Q1,1954 Q2,1954 Q3,1954 Q4,1955 Q1,1955 Q2,1955 Q3,1955 Q4,1956 Q1,1956 Q2,1956 Q3,1956 Q4,1957 Q1,1957 Q2,1957 Q3,1957 Q4,1958 Q1,1958 Q2,1958 Q3,1958 Q4,1959 Q1,1959 Q2,1959 Q3,1959 Q4,1960 Q1,1960 Q2,1960 Q3,1960 Q4,1961 Q1,1961 Q2,1961 Q3,1961 Q4,1962 Q1,1962 Q2,1962 Q3,1962 Q4,1963 Q1,1963 Q2,1963 Q3,1963 Q4,1964 Q1,1964 Q2,1964 Q3,1964 Q4,1965 Q1,1965 Q2,1965 Q3,1965 Q4,1966 Q1,1966 Q2,1966 Q3,1966 Q4,1967 Q1,1967 Q2,1967 Q3,1967 Q4,1968 Q1,1968 Q2,1968 Q3,1968 Q4,1969 Q1,1969 Q2,1969 Q3,1969 Q4,1970 Q1,1970 Q2,1970 Q3,1970 Q4,1971 Q1,1971 Q2,1971 Q3,1971 Q4,1972 Q1,1972 Q2,1972 Q3,1972 Q4,1973 Q1,1973 Q2,1973 Q3,1973 Q4,1974 Q1,1974 Q2,1974 Q3,1974 Q4,1975 Q1,1975 Q2,1975 Q3,1975 Q4,1976 Q1,1976 Q2,1976 Q3,1976 Q4,1977 Q1,1977 Q2,1977 Q3,1977 Q4,1978 Q1,1978 Q2,1978 Q3,1978 Q4,1979 Q1,1979 Q2,1979 Q3,1979 Q4,1980 Q1,1980 Q2,1980 Q3,1980 Q4,1981 Q1,1981 Q2,1981 Q3,1981 Q4,1982 Q1,1982 Q2,1982 Q3,1982 Q4,1983 Q1,1983 Q2,1983 Q3,1983 Q4,1984 Q1,1984 Q2,1984 Q3,1984 Q4,1985 Q1,1985 Q2,1985 Q3,1985 Q4,1986 Q1,1986 Q2,1986 Q3,1986 Q4,1987 Q1,1987 Q2,1987 Q3,1987 Q4,1988 Q1,1988 Q2,1988 Q3,1988 Q4,1989 Q1,1989 Q2,1989 Q3,1989 Q4,1990 Q1,1990 Q2,1990 Q3,1990 Q4,1991 Q1,1991 Q2,1991 Q3,1991 Q4,1992 Q1,1992 Q2,1992 Q3,1992 Q4,1993 Q1,1993 Q2,1993 Q3,1993 Q4,1994 Q1,1994 Q2,1994 Q3,1994 Q4,1995 Q1,1995 Q2,1995 Q3,1995 Q4,1996 Q1,1996 Q2,1996 Q3,1996 Q4,1997 Q1,1997 Q2,1997 Q3,1997 Q4,1998 Q1,1998 Q2,1998 Q3,1998 Q4,1999 Q1,1999 Q2,1999 Q3,1999 Q4,2000 Q1,2000 Q2,2000 Q3,2000 Q4,2001 Q1,2001 Q2,2001 Q3,2001 Q4,2002 Q1,2002 Q2,2002 Q3,2002 Q4,2003 Q1,2003 Q2,2003 Q3,2003 Q4,2004 Q1,2004 Q2,2004 Q3,2004 Q4,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1
Newfoundland and Labrador,47.55,-52.666667,"368,000","371,000","375,000","377,000","379,000","382,000","384,000","387,000","390,000","393,000","396,000","399,000","401,000","404,000","407,000","410,000","412,000","414,000","416,000","418,000","420,000","422,000","425,000","427,000","428,000","430,000","433,000","435,000","437,000","439,000","441,000","443,000","445,000","447,000","449,000","452,000","454,000","456,000","459,000","462,000","464,000","466,000","469,000","471,000","473,000","474,000","477,000","479,000","480,000","482,000","484,000","485,000","485,000","486,000","488,000","489,000","490,000","492,000","494,000","496,000","496,000","498,000","500,000","502,000","503,000","505,000","507,000","509,000","511,000","513,000","515,000","516,000","516,000","516,000","518,000","519,000","519,000","521,000","530,854","534,471","535,736","537,368","539,124","541,472","542,983","544,026","545,561","546,717","547,107","547,385","549,604","551,508","552,812","554,166","556,496","558,900","560,024","560,856","562,639","563,591","563,387","564,217","565,348","566,116","565,981","566,671","567,639","568,417","568,329","569,012","570,075","570,976","570,899","571,554","572,759","573,582","573,420","574,199","575,302","575,276","573,343","573,292","573,795","575,898","576,813","577,523","579,164","579,603","579,558","579,810","580,065","579,356","579,043","579,320","579,275","577,784","577,248","577,105","576,306","575,396","575,586","575,802","575,242","574,094","574,543","574,912","574,982","574,645","575,626","576,458","576,551","575,594","576,278","577,167","577,368","577,113","577,377","578,397","579,644","579,549","579,425","579,761","580,109","579,624","580,819","580,369","579,977","578,194","577,128","575,670","574,466","572,068","570,563","569,068","567,397","565,008","563,679","561,646","559,698","557,281","555,432","553,115","550,911","547,639","545,769","542,479","539,843","537,908","536,515","534,498","533,329","532,246","531,774","529,574","527,966","526,732","525,299","523,235","522,046","521,581","521,399","520,228","519,481","519,458","519,223","518,813","518,459","518,786","518,739","517,940","517,423","516,906","516,794","515,358","514,332","513,740","512,564","510,961","510,592","510,329","510,335","509,131","509,055","510,262","511,008","511,253","511,581","513,437","514,223","514,719","516,751","518,985","520,283","521,204","522,009","522,865","523,726","524,239","524,999","525,936","526,215","525,655","526,345","527,180","527,248","527,313","527,114","528,117","528,242","527,498","528,159","528,461","528,361","528,063","528,117","528,696","528,800","529,063","529,426","529,968","529,491","528,816","528,567","528,463","527,609","526,462","525,355","525,073","523,790"
Prince Edward Island,46.238225,-63.139481,"100,000","100,000","100,000","101,000","101,000","101,000","101,000","101,000","101,000","101,000","101,000","101,000","100,000","100,000","100,000","100,000","100,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","100,000","100,000","101,000","101,000","101,000","102,000","102,000","103,000","103,000","103,000","104,000","104,000","104,000","105,000","106,000","107,000","107,000","107,000","107,000","107,000","108,000","108,000","109,000","109,000","109,000","109,000","109,000","109,000","109,000","109,000","109,000","108,000","108,000","109,000","109,000","109,000","109,000","109,000","109,000","110,000","110,000","110,000","111,000","111,000","111,000","111,000","111,000","110,000","110,000","110,000","111,000","111,000","111,000","112,591","112,874","112,964","113,314","113,460","113,960","114,276","114,437","114,620","114,944","115,189","115,566","115,962","116,401","117,031","117,316","117,724","118,009","118,264","118,298","118,648","118,925","119,121","119,297","119,902","120,459","120,764","121,014","121,684","121,952","122,104","122,277","122,885","123,002","123,109","123,275","123,735","123,445","123,315","123,285","123,551","123,496","123,335","123,225","123,588","123,919","124,181","124,479","125,102","125,634","125,906","126,184","126,563","126,877","127,330","127,486","127,619","127,864","128,256","128,403","128,436","128,281","128,429","128,645","128,641","128,758","129,152","129,242","129,289","129,327","129,984","130,192","130,153","129,900","130,336","130,468","130,404","130,367","130,477","130,453","130,369","130,360","130,604","130,812","130,827","131,201","131,564","131,833","132,177","132,467","132,752","133,030","133,437","133,800","134,060","134,175","134,415","134,971","135,119","135,311","135,737","136,004","135,935","135,931","136,095","136,165","135,938","135,635","135,804","135,908","135,994","136,025","136,281","136,424","136,442","136,289","136,470","136,400","136,377","136,499","136,665","136,876","136,858","136,892","136,880","137,078","137,077","137,120","137,227","137,425","137,510","137,629","137,680","137,695","137,689","137,788","138,064","138,130","137,907","137,846","137,867","137,898","137,778","137,708","137,711","138,026","138,000","138,186","138,749","139,465","139,136","139,206","139,891","140,611","140,612","140,990","141,654","142,732","143,020","143,265","143,963","144,378","144,310","144,472","144,530","144,520","144,175","143,948","144,094","144,103","143,996","143,984","144,283","144,538","144,368","144,259","144,546","144,894","145,202","145,784","146,969","147,948","148,202","148,946","150,566","151,477","151,535","152,009","153,244","154,750","154,748"
Nova Scotia,45.616667,-61.966667,"647,000","651,000","654,000","657,000","660,000","662,000","664,000","667,000","668,000","670,000","674,000","676,000","678,000","681,000","684,000","688,000","690,000","693,000","695,000","695,000","695,000","698,000","701,000","702,000","705,000","707,000","710,000","713,000","716,000","718,000","720,000","722,000","722,000","725,000","728,000","731,000","732,000","735,000","738,000","740,000","742,000","744,000","746,000","748,000","747,000","749,000","751,000","752,000","752,000","753,000","755,000","756,000","755,000","754,000","756,000","755,000","754,000","755,000","757,000","756,000","757,000","758,000","761,000","762,000","764,000","765,000","768,000","771,000","771,000","774,000","777,000","778,000","779,000","780,000","783,000","784,000","785,000","788,000","797,294","798,804","800,513","800,542","802,255","805,317","808,614","809,697","812,386","814,351","816,353","816,688","818,751","821,251","823,084","824,791","826,549","830,351","832,765","833,741","835,166","837,578","838,385","839,315","840,028","842,051","842,961","843,663","844,628","846,612","847,511","848,272","849,396","850,336","850,915","851,541","852,659","853,389","853,673","854,024","854,871","857,038","857,469","857,592","859,038","862,255","864,117","865,796","868,289","872,143","874,076","875,922","877,471","881,323","883,012","884,525","885,848","887,408","887,435","888,157","889,087","891,078","891,424","891,908","893,606","894,585","894,600","895,638","897,216","899,462","900,270","901,341","903,841","906,644","907,394","908,444","910,451","911,749","912,792","912,889","914,969","916,896","917,302","917,555","919,451","921,619","922,128","922,469","923,925","925,851","925,852","926,109","926,871","927,778","927,395","927,641","928,120","930,028","929,782","929,921","931,327","932,276","932,349","931,832","932,402","932,735","932,549","932,033","931,836","932,740","932,145","932,116","933,784","935,941","934,594","934,291","933,821","934,459","933,463","932,909","932,494","933,336","933,773","934,177","935,179","935,968","935,509","935,800","937,717","938,790","938,997","938,783","939,664","939,884","939,215","937,991","937,926","938,753","938,117","937,664","937,882","937,046","936,203","934,995","935,115","935,379","935,475","935,635","935,897","937,045","937,382","937,429","938,208","940,501","940,823","940,919","942,107","944,179","944,068","943,918","944,274","945,016","944,307","943,746","943,635","943,341","942,598","941,230","940,434","940,105","939,867","938,913","938,545","938,972","938,296","936,271","936,525","938,320","938,690","940,382","942,790","946,103","946,061","947,790","950,680","954,374","954,611","955,708","959,942","964,693","965,382"
New Brunswick,47.558376,-65.656517,"521,000","524,000","527,000","529,000","530,000","532,000","533,000","535,000","537,000","538,000","541,000","543,000","544,000","546,000","548,000","550,000","552,000","553,000","556,000","557,000","558,000","560,000","563,000","565,000","567,000","569,000","572,000","574,000","577,000","580,000","583,000","584,000","585,000","587,000","589,000","591,000","593,000","596,000","599,000","600,000","602,000","604,000","605,000","607,000","607,000","608,000","609,000","609,000","609,000","610,000","612,000","612,000","613,000","614,000","615,000","616,000","616,000","616,000","617,000","617,000","618,000","619,000","621,000","622,000","623,000","624,000","626,000","628,000","627,000","627,000","628,000","628,000","625,000","626,000","628,000","628,000","630,000","633,000","642,471","644,717","646,337","648,056","648,769","651,182","652,497","655,725","656,720","658,693","661,016","662,560","664,744","669,506","671,135","673,918","677,008","682,086","685,155","687,521","689,494","690,936","691,810","693,580","695,843","696,378","696,872","697,851","699,514","699,937","700,237","701,261","703,158","703,038","703,538","704,475","706,219","705,237","704,763","705,241","706,438","706,008","705,608","706,179","707,457","709,894","711,021","712,338","714,842","716,531","717,434","718,627","720,488","721,509","721,932","722,406","723,287","723,955","724,277","724,432","725,019","725,304","725,368","726,566","727,768","728,100","728,401","729,079","730,349","731,671","732,462","733,872","735,129","736,352","737,307","738,744","740,156","741,981","743,210","744,203","745,567","745,886","746,571","747,232","748,121","747,746","747,892","748,320","748,812","749,454","749,531","749,473","750,185","750,670","750,819","750,692","750,943","751,174","751,581","751,872","752,268","752,526","752,334","752,447","752,511","752,248","751,969","751,080","750,530","750,708","750,127","750,075","750,601","750,643","750,786","750,543","750,517","750,252","749,715","749,789","749,820","749,295","748,637","748,777","749,372","749,408","749,238","749,265","749,441","749,463","749,190","749,336","749,419","749,243","749,002","748,693","748,057","747,672","746,983","746,337","745,621","744,975","744,853","744,938","745,433","746,138","746,288","746,533","746,877","747,769","748,373","749,161","749,956","751,066","751,281","752,021","753,035","754,287","754,794","754,841","755,705","756,420","757,278","757,270","758,378","758,673","758,298","758,132","758,544","758,670","759,018","758,876","758,976","759,524","759,617","758,948","758,842","759,778","760,580","762,289","763,350","764,878","764,657","764,926","766,852","768,212","768,229","768,865","770,633","772,238","772,094"
Quebec,55,-73.583333,"4,126,000","4,153,000","4,183,000","4,209,000","4,228,000","4,249,000","4,281,000","4,310,000","4,337,000","4,365,000","4,402,000","4,436,000","4,465,000","4,492,000","4,529,000","4,557,000","4,581,000","4,606,000","4,641,000","4,671,000","4,702,000","4,737,000","4,786,000","4,825,000","4,849,000","4,879,000","4,915,000","4,947,000","4,974,000","5,002,000","5,035,000","5,068,000","5,092,000","5,119,000","5,152,000","5,187,000","5,212,000","5,238,000","5,268,000","5,300,000","5,324,000","5,350,000","5,381,000","5,413,000","5,437,000","5,461,000","5,489,000","5,518,000","5,541,000","5,566,000","5,593,000","5,621,000","5,644,000","5,668,000","5,694,000","5,720,000","5,740,000","5,762,000","5,787,000","5,808,000","5,826,000","5,846,000","5,870,000","5,888,000","5,902,000","5,916,000","5,931,000","5,949,000","5,961,000","5,975,000","5,987,000","6,001,000","6,002,000","6,005,000","6,015,000","6,021,000","6,017,000","6,022,000","6,137,305","6,148,121","6,152,950","6,165,470","6,174,216","6,182,065","6,189,678","6,199,080","6,213,149","6,227,045","6,238,468","6,251,741","6,268,571","6,286,708","6,299,783","6,310,999","6,330,303","6,348,244","6,362,125","6,377,976","6,396,761","6,404,158","6,412,575","6,423,152","6,433,133","6,431,509","6,432,019","6,436,705","6,440,459","6,442,774","6,446,529","6,455,295","6,465,996","6,472,095","6,480,428","6,492,192","6,505,997","6,515,323","6,523,258","6,534,508","6,547,207","6,558,545","6,565,745","6,572,316","6,580,631","6,584,666","6,588,636","6,595,846","6,602,976","6,608,417","6,613,628","6,621,748","6,631,220","6,640,276","6,645,778","6,654,729","6,665,802","6,676,959","6,684,699","6,693,133","6,708,170","6,727,250","6,745,101","6,765,059","6,781,984","6,796,640","6,805,203","6,818,248","6,837,077","6,864,044","6,882,602","6,903,228","6,925,128","6,946,945","6,955,119","6,973,762","6,996,986","7,019,039","7,026,241","7,044,395","7,067,396","7,080,336","7,082,645","7,096,705","7,110,010","7,129,062","7,137,514","7,147,047","7,156,537","7,172,016","7,177,923","7,184,599","7,192,403","7,201,106","7,205,074","7,210,305","7,219,219","7,228,600","7,232,952","7,237,307","7,246,897","7,257,616","7,262,945","7,267,820","7,274,611","7,282,871","7,286,008","7,290,497","7,295,935","7,305,302","7,310,238","7,315,053","7,323,250","7,334,722","7,340,269","7,347,179","7,356,951","7,368,772","7,373,978","7,383,844","7,396,456","7,411,504","7,417,882","7,428,016","7,441,656","7,455,892","7,461,516","7,471,775","7,485,753","7,503,709","7,510,408","7,520,262","7,535,590","7,553,651","7,559,625","7,567,307","7,581,476","7,598,887","7,604,258","7,615,505","7,631,966","7,653,092","7,661,583","7,674,385","7,692,916","7,713,173","7,725,513","7,740,347","7,761,725","7,786,475","7,799,115","7,817,022","7,843,383","7,871,361","7,885,717","7,903,339","7,929,222","7,955,007","7,967,185","7,982,119","8,005,090","8,021,860","8,029,498","8,039,492","8,061,101","8,078,388","8,082,771","8,090,916","8,110,880","8,124,660","8,125,478","8,132,425","8,150,183","8,165,447","8,163,132","8,163,063","8,175,272","8,190,014","8,193,624","8,204,085","8,225,950","8,249,071","8,255,776","8,269,895","8,297,717","8,329,664","8,341,475","8,356,699","8,390,499","8,421,698","8,433,301"
Ontario,50,-88,"4,717,000","4,757,000","4,802,000","4,841,000","4,876,000","4,907,000","4,956,000","5,002,000","5,047,000","5,082,000","5,130,000","5,174,000","5,208,000","5,236,000","5,278,000","5,311,000","5,344,000","5,375,000","5,423,000","5,470,000","5,529,000","5,580,000","5,668,000","5,722,000","5,759,000","5,789,000","5,835,000","5,874,000","5,907,000","5,938,000","5,985,000","6,020,000","6,054,000","6,083,000","6,127,000","6,158,000","6,187,000","6,214,000","6,248,000","6,275,000","6,303,000","6,330,000","6,362,000","6,395,000","6,427,000","6,455,000","6,497,000","6,535,000","6,572,000","6,602,000","6,646,000","6,687,000","6,723,000","6,758,000","6,803,000","6,849,000","6,888,000","6,926,000","6,977,000","7,025,000","7,063,000","7,096,000","7,142,000","7,186,000","7,213,000","7,238,000","7,275,000","7,305,000","7,338,000","7,362,000","7,399,000","7,442,000","7,488,000","7,528,000","7,566,000","7,613,000","7,656,000","7,683,000","7,849,027","7,882,241","7,906,337","7,927,220","7,963,117","7,992,037","8,013,391","8,035,129","8,075,547","8,107,108","8,139,808","8,172,562","8,204,275","8,240,114","8,260,161","8,284,503","8,319,795","8,352,911","8,366,498","8,387,985","8,413,779","8,438,765","8,458,617","8,481,322","8,504,080","8,530,102","8,548,453","8,569,298","8,590,144","8,604,263","8,619,239","8,638,099","8,662,088","8,674,941","8,693,157","8,715,218","8,746,013","8,757,388","8,770,591","8,787,156","8,812,286","8,846,005","8,865,774","8,892,646","8,920,288","8,957,042","8,982,933","9,010,994","9,039,564","9,074,145","9,100,590","9,129,833","9,167,484","9,210,346","9,230,294","9,256,175","9,294,657","9,338,435","9,362,036","9,391,784","9,437,359","9,493,289","9,531,478","9,577,947","9,637,945","9,702,789","9,735,171","9,774,964","9,838,620","9,917,210","9,969,308","10,031,922","10,103,305","10,167,642","10,189,985","10,238,884","10,295,832","10,344,678","10,355,101","10,385,937","10,431,316","10,465,562","10,488,022","10,528,346","10,572,205","10,610,665","10,629,994","10,656,924","10,690,038","10,728,737","10,744,762","10,776,819","10,819,146","10,860,406","10,875,308","10,906,895","10,950,119","10,993,416","11,009,307","11,037,392","11,082,903","11,130,574","11,146,270","11,179,959","11,227,651","11,278,893","11,292,059","11,322,038","11,365,901","11,408,804","11,419,589","11,452,857","11,504,759","11,559,464","11,576,994","11,621,255","11,683,290","11,748,348","11,771,945","11,827,345","11,897,534","11,961,789","11,980,361","12,030,408","12,094,174","12,146,053","12,156,750","12,195,501","12,245,039","12,291,669","12,305,320","12,341,656","12,391,421","12,437,664","12,446,466","12,477,967","12,528,663","12,578,931","12,587,531","12,618,444","12,661,878","12,700,994","12,702,838","12,726,728","12,764,806","12,807,208","12,814,446","12,840,272","12,883,583","12,927,148","12,932,234","12,956,332","12,998,345","13,047,485","13,058,435","13,088,106","13,135,778","13,189,339","13,198,650","13,221,999","13,261,381","13,308,659","13,323,332","13,348,263","13,390,632","13,434,943","13,444,704","13,467,829","13,510,781","13,558,528","13,562,583","13,582,747","13,617,553","13,661,314","13,657,737","13,669,860","13,707,118","13,757,688","13,773,629","13,816,545","13,875,394","13,945,524","13,970,658","14,007,485","14,071,445","14,153,806","14,190,680","14,246,035","14,322,757","14,411,424","14,446,515"
Manitoba,53.816667,-101.233333,"789,000","794,000","799,000","802,000","804,000","806,000","810,000","814,000","816,000","819,000","825,000","830,000","833,000","837,000","841,000","844,000","845,000","848,000","850,000","852,000","851,000","856,000","863,000","863,000","868,000","872,000","877,000","881,000","883,000","888,000","892,000","896,000","900,000","903,000","908,000","911,000","916,000","919,000","923,000","927,000","930,000","933,000","937,000","940,000","944,000","947,000","950,000","953,000","955,000","957,000","960,000","961,000","962,000","964,000","965,000","963,000","962,000","963,000","963,000","959,000","958,000","961,000","964,000","966,000","966,000","968,000","972,000","974,000","975,000","977,000","979,000","979,000","979,000","981,000","983,000","982,000","984,000","986,000","998,876","998,957","998,910","1,000,104","1,001,652","1,001,682","1,002,589","1,005,005","1,007,358","1,008,908","1,012,378","1,015,368","1,018,206","1,018,954","1,019,529","1,021,824","1,024,975","1,026,093","1,028,134","1,030,093","1,031,758","1,033,171","1,034,113","1,035,920","1,037,369","1,038,470","1,038,859","1,040,028","1,040,881","1,038,528","1,037,449","1,037,417","1,037,272","1,034,189","1,033,557","1,033,985","1,034,435","1,034,017","1,033,968","1,034,805","1,035,545","1,037,183","1,039,300","1,042,251","1,045,224","1,049,816","1,052,538","1,055,586","1,059,752","1,063,952","1,066,222","1,069,201","1,071,810","1,075,088","1,078,327","1,081,013","1,082,495","1,085,016","1,087,851","1,090,433","1,091,552","1,092,636","1,094,659","1,097,076","1,098,373","1,098,195","1,099,782","1,101,404","1,102,152","1,101,074","1,101,544","1,102,669","1,103,792","1,102,522","1,102,752","1,103,935","1,105,421","1,105,098","1,106,196","1,107,757","1,109,604","1,109,400","1,109,978","1,111,050","1,112,689","1,113,209","1,114,180","1,115,554","1,117,618","1,118,603","1,119,284","1,120,863","1,123,230","1,124,263","1,124,947","1,127,234","1,129,150","1,129,547","1,130,288","1,132,025","1,134,196","1,134,619","1,134,997","1,135,846","1,136,128","1,135,649","1,135,770","1,136,177","1,137,489","1,138,328","1,138,946","1,140,502","1,142,448","1,143,618","1,144,428","1,145,873","1,147,313","1,148,183","1,148,456","1,149,684","1,151,454","1,152,150","1,152,837","1,154,737","1,156,680","1,157,298","1,158,369","1,160,863","1,163,596","1,165,530","1,167,656","1,170,347","1,173,238","1,174,675","1,176,051","1,177,285","1,178,264","1,179,086","1,179,920","1,181,635","1,183,562","1,183,981","1,184,503","1,186,430","1,189,451","1,191,690","1,193,408","1,194,662","1,197,775","1,199,548","1,201,702","1,204,014","1,208,556","1,211,875","1,213,933","1,216,610","1,220,780","1,224,662","1,227,212","1,229,063","1,233,649","1,238,019","1,242,141","1,245,692","1,249,975","1,254,178","1,257,940","1,260,834","1,264,620","1,268,428","1,271,562","1,274,407","1,279,014","1,283,366","1,286,453","1,288,094","1,292,227","1,297,329","1,302,544","1,307,689","1,314,139","1,320,057","1,324,455","1,328,982","1,335,396","1,340,776","1,344,385","1,346,851","1,352,154","1,356,836","1,360,396"
Saskatchewan,54.129722,-108.434722,"836,000","838,000","845,000","850,000","852,000","855,000","863,000","866,000","867,000","869,000","874,000","877,000","877,000","877,000","879,000","880,000","879,000","879,000","881,000","880,000","874,000","875,000","882,000","884,000","884,000","888,000","894,000","898,000","900,000","903,000","908,000","912,000","911,000","912,000","916,000","918,000","919,000","922,000","926,000","929,000","927,000","928,000","931,000","931,000","928,000","930,000","933,000","935,000","936,000","939,000","943,000","946,000","946,000","948,000","951,000","953,000","952,000","954,000","956,000","957,000","955,000","955,000","958,000","959,000","957,000","959,000","961,000","962,000","959,000","959,000","958,000","955,000","948,000","942,000","940,000","933,000","927,000","926,000","932,038","928,061","923,123","921,306","920,780","916,659","913,591","912,191","911,937","908,856","907,546","907,748","908,457","908,714","910,276","913,118","917,415","922,468","925,570","928,697","931,612","936,235","938,455","941,297","944,621","947,400","948,753","950,365","952,430","954,473","955,552","957,375","959,735","961,723","963,231","965,215","967,548","970,183","971,544","973,372","975,759","979,469","981,559","983,744","986,582","991,621","993,810","997,100","1,001,249","1,005,175","1,007,484","1,010,840","1,014,615","1,018,785","1,020,040","1,021,914","1,024,928","1,027,418","1,027,137","1,027,812","1,028,717","1,029,554","1,029,639","1,031,336","1,032,799","1,031,995","1,029,527","1,028,590","1,028,225","1,025,453","1,021,497","1,020,302","1,019,439","1,016,043","1,011,429","1,009,952","1,007,727","1,004,214","1,002,651","1,002,876","1,002,713","1,000,942","1,001,136","1,002,831","1,003,995","1,002,960","1,003,443","1,005,037","1,006,900","1,007,016","1,007,554","1,008,540","1,009,575","1,010,784","1,011,784","1,012,795","1,014,187","1,015,349","1,016,198","1,017,872","1,018,945","1,019,408","1,018,326","1,017,683","1,017,902","1,017,426","1,017,504","1,017,105","1,017,332","1,017,748","1,016,883","1,015,716","1,014,524","1,012,582","1,011,141","1,009,177","1,007,565","1,006,027","1,003,469","1,001,643","1,000,239","999,175","998,681","997,740","996,807","996,279","996,241","995,748","996,386","996,555","996,558","997,080","997,283","996,993","995,900","994,892","993,500","993,288","992,237","991,228","992,314","993,361","995,174","997,550","1,002,086","1,007,323","1,010,304","1,013,478","1,017,404","1,022,553","1,025,993","1,029,901","1,034,819","1,039,554","1,042,952","1,046,799","1,051,443","1,056,115","1,058,963","1,061,484","1,066,026","1,070,687","1,074,265","1,077,892","1,083,755","1,088,959","1,091,547","1,094,390","1,099,736","1,103,730","1,106,374","1,109,631","1,112,979","1,116,203","1,118,181","1,118,806","1,120,967","1,124,919","1,127,773","1,131,147","1,135,987","1,140,773","1,143,480","1,146,627","1,150,782","1,155,034","1,156,964","1,158,836","1,162,062","1,165,903","1,168,423"
Alberta,52.883333,-112,"959,000","965,000","977,000","985,000","994,000","1,002,000","1,016,000","1,029,000","1,039,000","1,047,000","1,061,000","1,070,000","1,078,000","1,084,000","1,094,000","1,102,000","1,109,000","1,118,000","1,126,000","1,136,000","1,144,000","1,153,000","1,169,000","1,179,000","1,191,000","1,198,000","1,211,000","1,221,000","1,233,000","1,241,000","1,252,000","1,263,000","1,274,000","1,282,000","1,296,000","1,307,000","1,317,000","1,325,000","1,335,000","1,345,000","1,356,000","1,363,000","1,373,000","1,382,000","1,391,000","1,398,000","1,407,000","1,414,000","1,419,000","1,425,000","1,431,000","1,436,000","1,443,000","1,445,000","1,451,000","1,453,000","1,456,000","1,459,000","1,465,000","1,470,000","1,476,000","1,483,000","1,493,000","1,501,000","1,510,000","1,518,000","1,527,000","1,536,000","1,546,000","1,553,000","1,562,000","1,571,000","1,579,000","1,589,000","1,597,000","1,607,000","1,616,000","1,623,000","1,665,717","1,675,638","1,679,985","1,686,758","1,694,090","1,705,519","1,710,866","1,717,910","1,725,327","1,735,396","1,739,942","1,746,975","1,754,621","1,769,880","1,782,575","1,795,097","1,808,689","1,825,051","1,839,191","1,852,651","1,869,287","1,896,466","1,914,570","1,931,214","1,948,263","1,974,721","1,991,454","2,006,745","2,022,241","2,047,919","2,064,776","2,079,840","2,096,966","2,128,647","2,149,996","2,168,863","2,191,029","2,227,159","2,249,907","2,270,227","2,291,104","2,319,715","2,337,458","2,352,042","2,369,827","2,378,405","2,383,354","2,388,090","2,393,587","2,394,239","2,394,892","2,396,706","2,393,907","2,390,913","2,395,813","2,401,499","2,404,490","2,407,001","2,415,590","2,424,950","2,432,930","2,429,949","2,432,958","2,439,074","2,440,877","2,437,537","2,443,396","2,450,646","2,456,614","2,465,242","2,477,533","2,489,032","2,498,325","2,507,203","2,520,056","2,532,621","2,547,788","2,563,142","2,572,947","2,580,625","2,592,306","2,604,031","2,611,786","2,620,771","2,632,672","2,643,421","2,650,886","2,658,293","2,667,292","2,678,623","2,683,346","2,691,443","2,700,606","2,709,011","2,715,701","2,724,946","2,734,519","2,745,255","2,753,463","2,762,903","2,775,133","2,789,691","2,799,561","2,813,157","2,829,848","2,847,526","2,859,305","2,876,753","2,899,066","2,915,781","2,926,079","2,937,393","2,952,692","2,966,682","2,974,517","2,988,465","3,004,198","3,016,947","3,027,941","3,041,238","3,058,108","3,078,336","3,092,107","3,108,360","3,128,429","3,144,926","3,155,103","3,169,049","3,183,065","3,197,858","3,209,372","3,223,490","3,238,668","3,260,590","3,276,797","3,296,271","3,321,768","3,346,754","3,371,823","3,396,802","3,421,434","3,453,944","3,472,771","3,490,842","3,514,147","3,533,413","3,548,796","3,567,458","3,595,856","3,619,292","3,638,482","3,659,228","3,678,996","3,694,303","3,702,266","3,714,974","3,732,082","3,747,226","3,754,424","3,768,773","3,789,030","3,807,726","3,825,072","3,847,722","3,874,548","3,900,333","3,920,499","3,946,798","3,981,011","4,010,903","4,029,951","4,054,280","4,083,648","4,106,056","4,116,047","4,128,300","4,144,491","4,159,519","4,169,830","4,181,765","4,196,061","4,210,052","4,219,363","4,230,284","4,243,995","4,262,642","4,274,054","4,288,327","4,307,110","4,330,206","4,345,737"
